Device,Time,Query
Desktop,2021-03-25T22:59:41.206Z[UTC],stadium arca
Desktop,2021-03-25T22:59:54.740Z[UTC],the red hot chilli
Iphone,2021-03-26T03:27:10.731Z[UTC],uor
Iphone,2021-03-26T03:27:13.115Z[UTC],giorgio
Iphone,2021-03-26T04:04:54.374Z[UTC],suzane vega
Iphone,2021-03-26T04:05:16.121Z[UTC],suzane vega ricar
Iphone,2021-03-28T13:57:50.046Z[UTC],if pink
Iphone,2021-03-28T20:46:14.838Z[UTC],dakiti
Iphone,2021-03-28T20:46:25.030Z[UTC],daki
Iphone,2021-03-28T20:48:15.898Z[UTC],toms diner remix
Iphone,2021-03-28T20:48:28.248Z[UTC],toms diner radio 
Iphone,2021-03-28T20:50:04.599Z[UTC],tom d
Iphone,2021-03-28T20:51:13.922Z[UTC],the meters
