Date,Artist,Track,MinPlayed
2020-04-01 22:33,Electric Light Orchestra,Last Train to London,0.022433333333333333
2020-04-01 22:33,Marvin Gaye,Got To Give It Up - Pt. 1,2.1029166666666668
2020-04-01 22:33,Patrice Rushen,Forget Me Nots,0.019733333333333332
2020-04-01 22:35,Pino D'Angiò,Una notte da impazzire,1.7051166666666666
2020-04-01 22:35,Elton John,Tiny Dancer,0.018183333333333333
2020-04-01 22:35,Red Hot Chili Peppers,Californication,0.024366666666666665
2020-04-01 22:39,Red Hot Chili Peppers,Under the Bridge,4.4051
2020-04-01 22:41,The Alan Parsons Project,Sirius - Chicago Bulls Theme Song,1.9213333333333333
2020-04-01 22:45,Andrés Calamaro,Flaca,0.03481666666666667
2020-04-01 22:45,Fito Paez,Fue amor,4.105466666666667
2020-04-01 22:45,Invisible,Dios de Adolescencia,0.012383333333333333
2020-04-02 01:16,Andrés Calamaro,Flaca,4.5926
2020-04-02 01:21,2Pac,Can't C Me,5.512666666666667
2020-04-02 01:24,The Beatles,I Saw Her Standing There - Remastered 2009,2.8991
2020-04-02 01:29,Los Espiritus,Perdida En El Fuego,4.566183333333333
2020-04-02 01:33,The Notorious B.I.G.,Big Poppa - 2005 Remaster,4.212433333333333
2020-04-02 01:37,Jamiroquai,Virtual Insanity - Remastered,3.8226666666666667
2020-04-02 01:39,The Beatles,There's A Place - Remastered 2009,1.84155
2020-04-02 01:43,Gustavo Cerati,Puente,4.5633333333333335
2020-04-02 01:46,The Rolling Stones,She Saw Me Coming - Remastered,2.5917
2020-04-02 01:46,Andrés Calamaro,Loco,0.040633333333333334
2020-04-02 01:46,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,0.12111666666666666
2020-04-02 01:49,Toquinho,Samba do Avião,2.46
2020-04-02 02:03,Caetano Veloso,Desde Que O Samba É Samba,0.016583333333333332
2020-04-02 02:06,Moi Je,Plane,3.0656
2020-04-02 02:08,Anderson .Paak,Come Down,2.437316666666667
2020-04-02 02:09,LEISURE,All over You,0.077
2020-04-02 02:12,Militantes del Climax,Cama Adentro,3.22135
2020-04-02 02:17,Glass Animals,Gooey,4.821766666666667
2020-04-02 02:18,alt-J,Breezeblocks,0.5524833333333333
2020-04-02 02:22,Blundetto,Sunset Stroll,3.7722166666666666
2020-04-02 02:28,Marbert Rocel,Song For You,6.397333333333333
2020-04-02 02:33,Blur,Ghost Ship,4.98555
2020-04-02 02:37,Tom Misch,Release You,3.875
2020-04-02 02:39,Chet Faker,Release Your Problems,2.2315666666666667
2020-04-02 23:26,Chet Faker,Release Your Problems,0.0147
2020-04-02 23:30,BJ The Chicago Kid,Turnin' Me Up,4.4862166666666665
2020-04-02 23:33,Rag'n'Bone Man,Daylight Fading,2.64325
2020-04-02 23:38,Ady Suleiman,Need Somebody To Love,5.4428833333333335
2020-04-02 23:39,Queen,I Can't Live With You - Remastered 2011,0.08241666666666667
2020-04-02 23:39,Queen,"Keep Yourself Alive - BBC Session / February 5th 1973, Langham 1 Studio",0.037533333333333335
2020-04-02 23:39,Queen,"All Dead, All Dead - Remastered 2011",0.03095
2020-04-02 23:39,Queen,Another One Bites The Dust - Remastered 2011,0.019733333333333332
2020-04-02 23:39,Queen,"Get Down, Make Love - Remastered 2011",0.07855
2020-04-02 23:39,Queen,Too Much Love Will Kill You - 2011 Remaster,0.046816666666666666
2020-04-02 23:39,Queen,Ay-Oh - Live Aid,0.0592
2020-04-02 23:39,Elder Island,Black Fur,0.2694
2020-04-02 23:39,Queen,Tie Your Mother Down - Remastered 2011,0.05533333333333333
2020-04-02 23:39,Queen,You Don't Fool Me - Remastered 2011,0.05301666666666666
2020-04-02 23:54,Queen,One Vision - Remastered 2011,0.12111666666666666
2020-04-02 23:54,Queen,"My Fairy King - BBC Session / February 5th 1973, Langham 1 Studio",0.04178333333333333
2020-04-02 23:54,Queen,Love Of My Life - Remastered 2011,3.0220666666666665
2020-04-02 23:54,Queen,Headlong - Remastered 2011,0.0712
2020-04-02 23:56,Queen,Play The Game - Remastered 2011,2.4323
2020-04-02 23:59,Queen,Sleeping On The Sidewalk - Remastered 2011,3.1013333333333333
2020-04-03 00:03,Queen,Hammer To Fall - Live Aid,4.05885
2020-04-03 00:10,Queen,It's Late - Remastered 2011,6.439333333333333
2020-04-03 00:11,Queen,We Are The Champions - Live Aid,1.4070666666666667
2020-04-03 00:14,KC & The Sunshine Band,"(Shake, Shake, Shake) Shake Your Booty",3.094
2020-04-03 00:18,Billy Ocean,Caribbean Queen (No More Love On the Run),4.072
2020-04-03 00:24,Geraldine Hunt,Can't Fake the Feeling,5.282666666666667
2020-04-03 00:31,Kiki Gyan,Disco Dancer,6.946666666666666
2020-04-03 00:36,CHIC,Soup for One,5.584433333333333
2020-04-03 00:38,The Emotions,Best of My Love,1.2051
2020-04-03 00:45,Solomun,Hypnotize,6.2275833333333335
2020-04-03 00:52,Paul Kalkbrenner,A Million Days,6.455916666666667
2020-04-03 00:58,Fritz Kalkbrenner,Facing the Sun,5.218066666666667
2020-04-03 01:02,Paul Kalkbrenner,Sky and Sand,3.841666666666667
2020-04-03 01:09,Solomun,The Way Back,7.434216666666667
2020-04-03 01:16,Stephan Bodzin,Singularity,7.021766666666666
2020-04-03 01:22,Paul Kalkbrenner,Feed Your Head,5.770666666666667
2020-04-03 01:26,Maceo Plex,Solitary Daze,3.9259833333333334
2020-04-03 01:26,Electric Light Orchestra,Shine a Little Love,0.3839
2020-04-03 01:31,Loco por volverla a ver (Acustico) - LPDA,Loco por volverla a ver (Acustico) - Las pastillas del abuelo,4.830466666666666
2020-04-03 20:51,Loco por volverla a ver (Acustico) - LPDA,Loco por volverla a ver (Acustico) - Las pastillas del abuelo,4.830466666666666
2020-04-03 21:01,UB40,Rat In Mi Kitchen,4.737633333333333
2020-04-03 21:49,La Renga,La Razón Que Te Demora,3.097916666666667
2020-04-03 21:53,La Renga,Balada Del Diablo y La Muerte,4.236866666666667
2020-04-03 21:57,Blind Melon,No Rain,3.6184333333333334
2020-04-03 22:03,Blind Melon,Change,3.3268333333333335
2020-04-03 22:07,Mancha De Rolando,Arde la ciudad,4.192833333333334
2020-04-03 23:59,DJ Jazzy Jeff & The Fresh Prince,The Fresh Prince of Bel-Air,2.7028833333333333
2020-04-04 00:02,Anti Lilly,What Would You Do - Instrumental,3.3066666666666666
2020-04-04 00:07,La Vela Puerca,Zafar,4.366666666666666
2020-04-04 00:12,Los Piojos,Bicho de Ciudad,5.346
2020-04-04 00:15,Los Piojos,Como Alí,3.52755
2020-04-04 00:19,Calle 13,Muerte En Hawaii,3.164433333333333
2020-04-04 00:23,Mancha De Rolando,Arde la ciudad,4.192833333333334
2020-04-04 00:26,DJ Jazzy Jeff & The Fresh Prince,The Fresh Prince of Bel-Air,2.9544333333333332
